Date,Open,High,Low,Close,Volume,Sector,Ticker,Company,Return,Month,Year,Quarter
2023-06-16,772.4432977006162,783.1746828103192,770.9102257106925,780.0355834960938,15779272,Banking,HDFCBANK.NS,HDFCBANK,1.3084,2023-06,2023,2023Q2
2023-06-19,784.0507655809437,785.6324943134937,777.8941787861185,780.7169799804688,24829146,Banking,HDFCBANK.NS,HDFCBANK,0.0874,2023-06,2023,2023Q2
2023-06-20,780.7169047691681,784.0506900484788,774.146647589991,782.3472900390625,20005626,Banking,HDFCBANK.NS,HDFCBANK,0.2088,2023-06,2023,2023Q2
2023-06-21,786.4841043269806,796.8261756245972,784.050675786365,796.0231323242188,24308946,Banking,HDFCBANK.NS,HDFCBANK,1.7481,2023-06,2023,2023Q2
2023-06-22,798.1646301932708,806.7059888717916,797.7023024946114,799.9166870117188,56596140,Banking,HDFCBANK.NS,HDFCBANK,0.4891,2023-06,2023,2023Q2
2023-06-23,796.9722855006775,807.8497002925832,795.2688853504051,799.8680419921875,21339218,Banking,HDFCBANK.NS,HDFCBANK,-0.0061,2023-06,2023,2023Q2
2023-06-26,800.5979965482512,803.3964393933287,792.6649956756461,795.9988403320312,16130314,Banking,HDFCBANK.NS,HDFCBANK,-0.4837,2023-06,2023,2023Q2
2023-06-27,799.6002755865209,814.1765484676322,797.4589059580019,807.2169189453125,33831864,Banking,HDFCBANK.NS,HDFCBANK,1.4093,2023-06,2023,2023Q2
2023-06-28,812.7652324615918,817.5834334461853,808.1417176661517,815.7583618164062,59562950,Banking,HDFCBANK.NS,HDFCBANK,1.0581,2023-06,2023,2023Q2
2023-06-30,829.3124901661796,831.6486054517263,819.2137611926184,828.047119140625,40699016,Banking,HDFCBANK.NS,HDFCBANK,1.5064,2023-06,2023,2023Q2
2023-07-03,833.449367439012,855.3502267293802,832.2326530339916,837.002197265625,44104116,Banking,HDFCBANK.NS,HDFCBANK,1.0815,2023-07,2023,2023Q3
2023-07-04,838.778513734139,850.2399866599931,834.0820438772298,841.0902709960938,38795188,Banking,HDFCBANK.NS,HDFCBANK,0.4884,2023-07,2023,2023Q3
2023-07-05,835.2744057361592,837.0994772709068,812.0595195781218,814.3712768554688,37165754,Banking,HDFCBANK.NS,HDFCBANK,-3.1767,2023-07,2023,2023Q3
2023-07-06,814.2252369257229,821.4525082286525,808.0930085295972,815.1986083984375,52156544,Banking,HDFCBANK.NS,HDFCBANK,0.1016,2023-07,2023,2023Q3
